koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0bk_err1,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err2,koi_teq,koi_insol,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_slogg,koi_slogg_err2,koi_srad_err1,ra,dec,koi_kepmag
0,0,0,0,51.07926451,185.18087,0.000981,0.017,0.267,-0.017,6.3729,0.0312,-0.0312,736.8,6,-6,2.75,-0.28,503,15.17,-3.96,126.8,1,5833,105,4.407,-0.114,0.143,295.64871,48.49556,12.772
0,1,0,0,3.9043425,173.393734,0.000266,0.709,0.011,-0.015,3.831,0.0271,-0.0271,16228,62.1,-62.1,12.28,-1.19,1104,351.05,-97.69,323.4,1,5810,157,4.526,-0.2,0.26,294.05676,40.549679,15.016
0,0,1,0,1.182862515,131.97137,0.00497,0.284,0.178,-0.284,2.928,0.136,-0.136,22.3,1.6,-1.6,1.26,-0.43,2800,14544.87,-8677.73,16.5,1,6017,120,3.699,-0.078,0.358,283.85291,45.48526,12.638
0,0,0,0,151.8851881,176.41272,0.00589,0.788,0.126,-0.552,12.091,0.152,-0.152,360.6,8.1,-8.1,2.47,-0.23,378,4.81,-1.19,46.3,2,6034,109,4.359,-0.117,0.187,293.62604,41.27282,13.004
0,1,1,0,0.364860478,132.07029,0.0023,0.267,0.208,-0.266,1.4736,0.0928,-0.0928,112.6,6.1,-6.1,0.68,-0.06,1993,3703.08,-972.61,23.5,1,5220,157,4.622,-0.044,0.056,298.39774,48.212318,14.823
0,0,0,0,5.21230171,132.71052,0.00203,0.187,0.254,-0.187,2.098,0.0639,-0.0639,430,16.2,-16.2,1.04,-0.11,537,19.7,-5.15,29.3,3,3716,73,4.74,-0.024,0.031,292.64236,44.087669,15.018
0,0,0,0,18.5525162,135.51322,0.00652,0.78,0.174,-0.566,4.385,0.21,-0.21,771.5,50.5,-50.5,2.53,-0.21,612,33.14,-8.88,17.2,1,5569,166,4.566,-0.179,0.213,294.57623,38.45697,15.714
1,0,0,0,452.65206,495.317,0.13,0.646,0.049,-0.475,19.87,5.7,-5.7,175.1,14.2,-14.2,2.41,-0.63,345,3.33,-1.74,17,1,6664,161,4.075,-0.136,0.375,289.64059,47.346439,12.568
0,0,0,0,47.9869119,160.65401,0.00446,0.873,0.05,-0.596,5.342,0.143,-0.143,859.3,37.6,-37.6,3.35,-0.47,493,14.01,-4.76,25.7,1,5641,152,4.408,-0.18,0.258,283.21161,41.038059,14.19
0,0,0,1,2.9761504,132.9276,0.041,0.064,0.395,-0.064,6.079,0.867,-0.867,259.5,38.1,-38.1,1.02,-0.09,811,102.54,-28.76,8.3,3,4236,129,4.612,-0.017,0.028,290.15723,38.52438,15.104
1,0,1,0,1.56859048,131.64081,0.00619,1.198,0.206,-0.116,11.591,0.881,-0.881,280.6,8.5,-8.5,23.41,-2.61,1693,1935.28,-630.75,43.3,1,6248,175,4.442,-0.21,0.312,293.81381,38.926201,15.105
